//THIS FILE IS GENERATED AUTOMATICALLY
//DO NOT EDIT IT DIRECTLY
//Edit item_db.conf instead!
//ID,   Name,                   Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   Mode,   {UseScript},                                                            {EquipScript}
586,    CottonShorts,           5,      1000,       500,        15,         0,      2,      0,      -4,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
610,    JeansShorts,            5,      2000,       1000,       25,         0,      4,      0,      -8,     0,      2,      1,          0,      0,      0,      0,      {},                                                                     {}
632,    CottonSkirt,            5,      1000,       500,        10,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
642,    JeansChaps,             5,      2000,       1000,       60,         0,      6,      0,      -8,     0,      2,      1,          0,      0,      0,      0,      {},                                                                     {}
648,    CottonTrousers,         5,      1500,       750,        25,         0,      4,      0,      -6,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
731,    AssassinPants,          5,      10000,      3000,       20,         0,      4,      0,      -5,     0,      2,      1,          0,      0,      0,      0,      {},                                                                     {callfunc "BrawlingItem"; bonus bAgi, 5;}
768,    TerraniteLegs,          5,      10000,      3000,       30,         0,      5,      0,      -8,     0,      2,      1,          0,      0,      0,      0,      {},                                                                     {bonus bAgi, 1; bonus bMdef, 5;}
771,    Miniskirt,              5,      1000,       500,        8,          0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
796,    BromenalLegs,           5,      2000,       1000,       150,        0,      6,      0,      -12,    0,      2,      1,          0,      0,      0,      0,      {},                                                                     {}
857,    LeatherTrousers,        5,      1000,       500,        25,         0,      5,      0,      -4,     0,      2,      1,          0,      0,      0,      0,      {},                                                                     {bonus bHit, 2;}
881,    RaggedShorts,           5,      60,         1,          7,          0,      1,      0,      -2,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
1172,   SilkPants,              5,      20000,      750,        10,         0,      2,      0,      0,      0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2100,   RedCottonSkirt,         5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2101,   GreenCottonSkirt,       5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2102,   DarkBlueCottonSkirt,    5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2103,   YellowCottonSkirt,      5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2104,   LightBlueCottonSkirt,   5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2105,   PinkCottonSkirt,        5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2106,   BlackCottonSkirt,       5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
2107,   OrangeCottonSkirt,      5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
//ID,   Name,                   Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   Mode,   {UseScript},                                                            {EquipScript}
2108,   PurpleCottonSkirt,      5,      1000,       500,        20,         0,      4,      0,      -8,     0,      2,      1,          0,      1,      0,      0,      {},                                                                     {}
