//THIS FILE IS GENERATED AUTOMATICALLY
//DO NOT EDIT IT DIRECTLY
//Edit mob_db.conf instead!
//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   CRITDEF,STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop0id,Drop0%, Drop1id,Drop1%, Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Drop9id,Drop9%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1002,   Maggot,                 Maggot,                 5,      50,     0,      6,      1,      1,      5,      10,     0,      0,      0,      1,      1,      1,      0,      6,      5,      9,      10,     1,      3,      11,     129,    800,    1872,   672,    480,    505,    800,    501,    150,    518,    400,    533,    150,    502,    70,     522,    10,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1003,   Scorpion,               Scorpion,               10,     100,    0,      13,     2,      1,      10,     15,     0,      3,      0,      1,      1,      1,      0,      15,     5,      9,      10,     1,      3,      10,     129,    2000,   1872,   672,    480,    507,    700,    5367,   350,    510,    100,    509,    50,     518,    700,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1029,   MauvePlant,             MauvePlant,             1,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      9,      10,     1,      3,      12,     0,      800,    800,    672,    480,    680,    3000,   680,    3000,   680,    3000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1030,   CobaltPlant,            CobaltPlant,            1,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      9,      10,     1,      3,      12,     0,      800,    800,    672,    480,    681,    3000,   681,    3000,   681,    3000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1031,   GambogePlant,           GambogePlant,           1,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      9,      10,     1,      3,      12,     0,      800,    800,    672,    480,    682,    3000,   682,    3000,   682,    3000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1032,   AlizarinPlant,          AlizarinPlant,          1,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      9,      10,     1,      3,      12,     0,      800,    800,    672,    480,    683,    3000,   683,    3000,   683,    3000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1037,   CloverPatch,            CloverPatch,            1,      1,      0,      1,      1,      1,      0,      0,      0,      5,      0,      0,      0,      0,      0,      0,      0,      9,      10,     1,      3,      12,     0,      800,    800,    672,    480,    742,    5,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1038,   Squirrel,               Squirrel,               15,     160,    1,      32,     5,      1,      10,     20,     1,      6,      0,      1,      3,      1,      0,      15,     40,     9,      10,     1,      3,      10,     129,    800,    800,    672,    480,    743,    7000,   680,    1000,   681,    1000,   682,    1000,   683,    1000,   807,    800,    860,    550,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            15
1046,   TameScorpion,           TameScorpion,           5,      50,     0,      6,      2,      1,      7,      10,     0,      1,      0,      1,      1,      1,      0,      15,     5,      9,      10,     1,      3,      10,     129,    2000,   1872,   672,    480,    507,    700,    5367,   350,    510,    100,    509,    50,     518,    700,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,            0
1048,   Duck,                   Duck,                   14,     1282,   0,      16,     1,      1,      60,     63,     17,     20,     0,      9,      18,     17,     1,      16,     11,     6,      12,     1,      2,      11,     131,    240,    580,    472,    200,    5349,   400,    5365,   550,    562,    500,    4023,   250,    5354,   100,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            30
