// This file is generated automatically. All manually added changes will be removed when running the Converter.
// Ice Labyrinth warps

031-3,212,300|warp|-1,-1,031-1,76,25
031-3,205,264|warp|-1,-1,031-3,150,260
031-3,149,259|warp|-1,-1,031-3,206,265
031-3,225,282|warp|-1,-1,031-3,274,299
031-3,274,300|warp|-1,-1,031-3,225,283
031-3,283,271|warp|-1,-1,031-3,269,244
031-3,269,245|warp|-1,-1,031-3,283,272
031-3,148,150|warp|-1,-1,031-3,128,134
031-3,139,258|warp|-1,-1,031-3,156,196
031-3,155,195|warp|-1,-1,031-3,139,259
031-3,142,301|warp|-1,-1,031-3,98,300
031-3,97,301|warp|-1,-1,031-3,143,300
031-3,135,196|warp|-1,-1,031-3,106,231
031-3,106,232|warp|-1,-1,031-3,135,197
031-3,286,190|warp|-1,-1,031-3,227,241
031-3,227,242|warp|-1,-1,031-3,286,191
031-3,236,211|warp|-1,-1,031-3,187,227
031-3,187,228|warp|-1,-1,031-3,236,212
031-3,94,254|warp|-1,-1,031-3,54,251
031-3,54,250|warp|-1,-1,031-3,94,255
031-3,103,199|warp|-1,-1,031-3,52,176
031-3,52,177|warp|-1,-1,031-3,103,200
031-3,212,193|warp|-1,-1,031-3,207,167
031-3,207,168|warp|-1,-1,031-3,212,194
031-3,235,167|warp|-1,-1,031-3,195,123
031-3,195,122|warp|-1,-1,031-3,235,166
031-3,296,97|warp|-1,-1,031-3,292,124
031-3,292,123|warp|-1,-1,031-3,296,96
031-3,289,164|warp|-1,-1,031-3,228,122
031-3,228,121|warp|-1,-1,031-3,289,163
031-3,24,157|warp|-1,-1,031-3,31,143
031-3,31,144|warp|-1,-1,031-3,24,158
031-3,36,249|warp|-1,-1,031-3,35,225
031-3,35,226|warp|-1,-1,031-3,36,250
031-3,34,25|warp|-1,-1,031-3,281,24
031-3,281,22|warp|-1,-1,031-3,34,27
031-3,283,48|warp|-1,-1,031-3,275,74
031-3,275,73|warp|-1,-1,031-3,283,47
031-3,26,178|warp|-1,-1,031-3,36,201
031-3,36,200|warp|-1,-1,031-3,26,177
031-3,91,125|warp|-1,-1,031-3,36,79
031-3,36,80|warp|-1,-1,031-3,91,126
031-3,52,78|warp|-1,-1,031-3,192,71
031-3,192,70|warp|-1,-1,031-3,52,77
031-3,128,135|warp|-1,-1,031-3,148,151
031-3,232,93|warp|-1,-1,031-3,234,26
031-3,234,25|warp|-1,-1,031-3,232,92
031-3,200,50|warp|-1,-1,031-3,136,30
031-3,136,29|warp|-1,-1,031-3,200,49
